field,ID,RA,DEC,z_peak,z_a,z_ml,Prob_gt_6,bin_z,F090W_flux,F090W_err,F115W_flux,F115W_err,F150W_flux,F150W_err,F200W_flux,F200W_err,F277W_flux,F277W_err,F356W_flux,F356W_err,F444W_flux,F444W_err,A_arcsec,B_arcsec,R_KRON_U,FWHM_arcsec,GINI,clean_phot_bands,size_usable,F444W_SNR,F356W_SNR
GOODS-S,119417,53.158722,-27.788658,6.980000019073486,6.980000019073486,6.983795166015625,0.9828229546546936,6-8,-0.6938,3.0082,4.4750,2.1636,3.0711,2.1170,2.3462,2.4881,2.5924,1.7580,2.8772,1.7675,2.4358,1.6441,0.0958,0.0842,1.4000,0.2124,0.4340,7,1,1.48,1.63
GOODS-S,119457,53.099262,-27.788618,6.639999866485596,6.639999866485596,6.634932994842529,1.0,6-8,15.9505,4.8298,25.4462,3.8497,25.9525,4.0088,26.4710,3.7858,33.2718,3.0224,52.3031,2.7376,43.0474,3.3850,0.1133,0.0742,1.4000,0.2255,0.6576,7,1,12.72,19.11
GOODS-S,119678,53.199944,-27.788303,6.630000114440918,6.630000114440918,6.628748416900635,1.0,6-8,8.5355,2.3762,12.6135,2.5453,11.2955,2.4364,10.9963,2.1792,15.1762,1.5405,22.0531,1.5386,14.4524,1.8122,0.0922,0.0793,1.4000,0.2025,0.6489,7,1,7.98,14.33
GOODS-S,119682,53.132763,-27.788353,11.510000228881836,11.510000228881836,11.50400161743164,0.8323184251785278,10-15,-1.9122,1.4821,-0.2316,1.3237,-0.9440,1.4163,3.4253,1.2285,1.8414,0.7422,2.2337,0.8049,3.2262,0.9604,0.0810,0.0678,1.4000,0.1759,0.5409,7,1,3.36,2.78
GOODS-S,119765,53.208393,-27.788208,9.34000015258789,9.34000015258789,9.332167625427246,0.9579457640647888,8-10,-1.6536,6.2861,1.1596,3.7794,11.4741,3.3558,8.0126,2.6733,4.8422,1.8371,8.9723,1.5644,10.3032,2.1574,0.0880,0.0742,1.4000,0.1916,0.5204,7,1,4.78,5.74
GOODS-S,119779,53.138546,-27.788246,7.539999961853027,7.539999961853027,7.540966987609863,0.99994957447052,6-8,-1.6881,4.1480,4.6026,2.9107,10.0787,3.1422,4.1489,2.6056,5.1501,1.3395,5.8727,1.4784,8.4480,1.7529,0.1043,0.0684,1.4000,0.2077,0.5109,7,1,4.82,3.97
GOODS-S,119782,53.205784,-27.78822,7.090000152587891,7.090000152587891,7.085768699645996,0.997786819934845,6-8,1.1903,4.5258,6.2233,1.9528,5.3986,1.8431,5.6371,1.8032,5.7963,1.1451,3.5209,1.1799,4.9757,1.4506,0.0804,0.0688,1.4000,0.1762,0.5325,7,1,3.43,2.98
GOODS-S,119956,53.12731,-27.788046,6.599999904632568,6.599999904632568,6.598721981048584,1.0,6-8,11.6763,1.1235,27.2592,0.9376,24.9282,0.9072,19.8380,0.8972,19.7497,0.5922,25.3150,0.6781,19.0383,0.9470,0.0659,0.0639,1.4000,0.1528,0.7039,7,1,20.10,37.33
GOODS-S,120075,53.151592,-27.787914,6.650000095367432,6.650000095367432,6.647218227386475,1.0,6-8,8.0476,1.7169,20.1526,1.3746,19.5605,1.3670,17.4097,1.5847,17.6124,0.9085,41.0635,1.0873,13.5756,1.2783,0.0702,0.0686,1.4000,0.1634,0.6743,7,1,10.62,37.77
GOODS-S,120105,53.167435,-27.787912,7.180000305175781,7.180000305175781,7.179056167602539,0.995886504650116,6-8,0.3702,1.3456,3.0588,1.0333,0.8266,1.1900,1.7436,1.3802,3.5829,0.9485,0.9640,1.0354,2.9594,1.1613,0.0745,0.0688,1.4000,0.1688,0.4526,7,1,2.55,0.93
GOODS-S,120138,53.131046,-27.787891,6.680000305175781,6.680000305175781,6.6774444580078125,0.9965001940727234,6-8,2.3498,1.9033,3.6114,1.6293,4.5365,1.6837,1.8306,1.4521,3.1271,0.9379,4.8305,1.0544,0.9362,1.2101,0.0977,0.0827,1.4000,0.2131,0.4310,7,1,0.77,4.58
