field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-N,1038095,189.22711,62.148067,9.230000495910645,9.230000495910645,9.227262496948242,-9999.0,0.9886294007301331,0.98862224817276,0.9885239601135254,0.8862919211387634,5.572348117828369,14,6,0,0,0,0
GOODS-N,1038163,189.21492,62.14846,8.029999732971191,8.029999732971191,8.024505615234375,-9999.0,0.9999997615814209,0.9996140599250793,0.6643888354301453,0.0009347678860649467,10.943879127502441,14,6,0,0,0,0
GOODS-N,1038213,189.24963,62.148678,7.460000038146973,7.460000038146973,7.460875511169434,-9999.0,0.9996421337127686,0.9807179570198059,0.09161641448736191,0.005413947626948357,7.906749725341797,14,6,0,0,0,0
GOODS-N,1038293,189.32097,62.149086,6.650000095367432,6.650000095367432,6.649985313415527,-9999.0,0.9056137204170227,0.00019500753842294216,2.471891136224258e-08,1.5809989983850414e-09,3.0508854389190674,13,6,0,0,0,0
GOODS-N,1038324,189.3268,62.149155,7.450000286102295,7.450000286102295,7.452681541442871,-9999.0,0.9999999403953552,0.9968421459197998,5.486202644533478e-05,1.7860656953416765e-06,11.937484741210938,13,6,0,0,0,0
GOODS-N,1038326,189.24306,62.14922,7.300000190734863,7.300000190734863,7.297252178192139,-9999.0,1.0,1.0,3.28687814812878e-13,6.352677224189104e-16,21.962196350097656,14,6,0,0,0,0
GOODS-N,1038341,189.24434,62.149258,6.730000019073486,6.730000019073486,6.725191593170166,-9999.0,0.9736324548721313,0.003694293089210987,4.447313767741434e-05,1.4702724911330733e-05,4.550575256347656,14,6,0,0,0,0
GOODS-N,1038363,189.3226,62.149315,7.590000152587891,7.590000152587891,7.590752124786377,-9999.0,0.9999536871910095,0.9995564222335815,0.5358617901802063,0.02338515780866146,8.595038414001465,13,6,0,0,0,0
GOODS-N,1038838,189.23485,62.151165,7.159999847412109,7.159999847412109,7.154772758483887,-9999.0,0.9815297722816467,0.7906290888786316,0.08833086490631104,0.000425608828663826,3.9985623359680176,14,6,0,0,0,0
GOODS-N,1038917,189.23634,62.151447,6.610000133514404,6.610000133514404,6.609422206878662,-9999.0,0.9999976754188538,8.020791710805497e-07,7.801011179253692e-07,7.742206662442186e-07,17.634931564331055,14,6,0,0,0,0
GOODS-N,1038987,189.27536,62.15165,7.460000038146973,7.460000038146973,7.454840660095215,-9999.0,0.9999970197677612,0.9495099186897278,0.023082507774233818,3.03074066323461e-05,8.375754356384277,14,6,0,0,0,0
GOODS-N,1039078,189.23608,62.15202,6.550000190734863,6.550000190734863,6.55004358291626,-9999.0,0.9424790143966675,0.023228291422128677,0.0036052088253200054,3.442882371018641e-05,4.8542351722717285,14,6,0,0,0,0
GOODS-N,1039232,189.31104,62.15263,7.700000286102295,7.700000286102295,7.699863433837891,-9999.0,0.9999964833259583,0.9992693066596985,0.3199191093444824,0.001685543218627572,6.906224727630615,13,6,0,0,0,0
GOODS-N,1039295,189.32823,62.152817,6.639999866485596,6.639999866485596,6.64375638961792,-9999.0,0.9827324748039246,0.004672353155910969,0.0006255108746699989,0.0004596831859089434,3.9512112140655518,13,6,0,0,0,0
GOODS-N,1039305,189.33755,62.152843,7.28000020980835,7.28000020980835,7.274446964263916,-9999.0,0.9999924898147583,0.9961806535720825,0.24373893439769745,0.005116211716085672,2.9124417304992676,12,6,0,0,0,0
GOODS-N,1039467,189.31169,62.153423,7.260000228881836,7.260000228881836,7.259359359741211,-9999.0,0.9999999403953552,0.9999822378158569,0.000668381922878325,0.0005147692281752825,10.667595863342285,13,6,0,0,0,0
GOODS-N,1039544,189.30305,62.153744,7.409999847412109,7.409999847412109,7.406383037567139,-9999.0,1.0000001192092896,1.0000001192092896,9.446687139133547e-13,1.1416675346051963e-16,3.6282122135162354,13,6,0,0,0,0
GOODS-N,1039661,189.21074,62.15426,6.599999904632568,6.599999904632568,6.586136341094971,-9999.0,0.9994178414344788,0.0036423583514988422,1.9739918855066207e-07,1.3198381190043795e-12,6.509850025177002,14,6,0,0,0,0
GOODS-N,1039674,189.28827,62.154274,7.260000228881836,7.260000228881836,7.262082099914551,-9999.0,0.9999976754188538,0.998795747756958,0.01800246350467205,0.00011483141861390322,7.260581016540527,14,6,0,0,0,0
GOODS-N,1039676,189.25578,62.154293,6.860000133514404,6.860000133514404,6.8561482429504395,-9999.0,0.954076886177063,0.345160573720932,0.0752011388540268,0.003650833386927843,6.2492594718933105,14,6,0,0,0,0
GOODS-N,1039726,189.23846,62.154537,6.710000038146973,6.710000038146973,6.7126641273498535,-9999.0,0.984227180480957,0.01616048999130726,3.056095010833815e-05,1.847488135808817e-07,7.978940010070801,14,6,0,0,0,0
