field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F200W_flux,F356W_flux,F150W_flux,red_1,red_2,A_arcsec,FWHM_arcsec,rank_in_bin,color_index,bin_size,hunt_type
GOODS-S,284527,8.970000267028809,1.0,8-10,2239.5680,266.6564,1035.1242,117.1668,0.9242,0.9462,0.1570,0.3481,5,red_2,903,redness
GOODS-N,1207106,8.270000457763672,0.9868273735046387,8-10,3716.2711,562.9808,2235.4246,317.9797,0.8196,0.8470,0.1402,0.3074,6,red_2,903,redness
GOODS-N,1203011,8.239999771118164,1.0000001192092896,8-10,5933.8357,998.2429,3762.5977,551.2874,0.7741,0.8341,0.3745,0.6951,7,red_2,903,redness
GOODS-N,1091505,9.350000381469727,1.0,8-10,259.9492,22.7947,112.0503,19.6860,1.0571,0.7553,0.0700,0.1639,8,red_2,903,redness
GOODS-S,435106,8.390000343322754,1.0,8-10,188.7454,21.0145,80.8025,15.8254,0.9534,0.7081,0.0708,0.1657,9,red_2,903,redness
GOODS-N,1087167,8.149999618530273,1.0,8-10,840.4077,92.9845,422.6036,85.2795,0.9561,0.6951,0.0827,0.1935,10,red_2,903,redness
GOODS-S,423232,8.069999694824219,0.9115124940872192,8-10,4938.8967,1094.6294,3204.5319,670.9806,0.6544,0.6791,0.2090,0.4508,11,red_2,903,redness
GOODS-S,467269,8.15999984741211,0.9994832277297974,8-10,82.7825,10.0730,40.3261,9.3285,0.9148,0.6358,0.0887,0.1935,12,red_2,903,redness
GOODS-N,1134141,8.010000228881836,0.9999114871025085,8-10,49.7988,-0.1971,23.0949,6.1589,,0.5740,0.0643,0.1495,13,red_2,903,redness
GOODS-S,458421,8.3100004196167,0.9661431312561035,8-10,177.1390,27.8761,92.8602,25.8347,0.8031,0.5556,0.0781,0.1790,14,red_2,903,redness
GOODS-S,405967,8.5,0.9999959468841553,8-10,8444.3765,3206.5391,6513.6855,2041.2076,0.4205,0.5039,0.9002,1.6056,15,red_2,903,redness
GOODS-N,1221701,8.739999771118164,0.9999999403953552,8-10,303.2056,55.9758,137.4081,46.9677,0.7337,0.4662,0.0724,0.1683,16,red_2,903,redness
GOODS-N,1240204,8.029999732971191,0.9999998807907104,8-10,93.1572,-1.7461,41.1259,16.4745,,0.3973,0.0695,0.1607,17,red_2,903,redness
GOODS-S,404993,9.380000114440918,0.999329149723053,8-10,80.4160,32.0510,70.0737,28.2417,0.3995,0.3947,0.1722,0.3781,18,red_2,903,redness
GOODS-S,397445,8.289999961853027,1.0000001192092896,8-10,116.8802,52.2263,95.0121,38.8734,0.3499,0.3881,0.0947,0.2200,19,red_2,903,redness
GOODS-S,462206,9.170000076293945,1.0000001192092896,8-10,40.3773,11.0306,16.7090,7.1213,0.5635,0.3704,0.0710,0.1635,20,red_2,903,redness
GOODS-N,1202651,9.239999771118164,0.9599364399909973,8-10,29.0107,28.0319,48.7033,20.8492,0.0149,0.3685,0.0965,0.2169,21,red_2,903,redness
GOODS-S,427272,9.380000114440918,0.9999996423721313,8-10,168.8986,70.2027,127.2131,55.9588,0.3813,0.3567,0.1792,0.3408,22,red_2,903,redness
GOODS-S,354617,9.380000114440918,0.8155199885368347,8-10,25.2478,27.2632,31.3026,14.0649,-0.0334,0.3474,0.1044,0.2338,23,red_2,903,redness
GOODS-S,407355,8.8100004196167,0.9999133348464966,8-10,49.0315,16.7529,30.4622,14.0118,0.4664,0.3373,0.1425,0.3055,24,red_2,903,redness
GOODS-S,464098,8.980000495910645,1.0,8-10,130.6823,23.4224,41.6421,19.2050,0.7466,0.3361,0.0668,0.1560,25,red_2,903,redness
GOODS-S,479058,8.739999771118164,0.9293113946914673,8-10,46.1110,42.2194,42.6477,19.7767,0.0383,0.3337,0.0968,0.2072,26,red_2,903,redness
GOODS-S,100210,8.039999961853027,0.8926028609275818,8-10,12.7788,8.5147,11.0688,5.2527,0.1763,0.3237,0.1046,0.2234,27,red_2,903,redness
GOODS-S,476958,8.420000076293945,0.8611336350440979,8-10,10.5121,10.0689,11.5751,5.7682,0.0187,0.3025,0.0934,0.2089,28,red_2,903,redness
GOODS-S,401249,8.25,1.0,8-10,115.6478,60.5672,91.3175,46.2145,0.2809,0.2958,0.1318,0.2720,29,red_2,903,redness
GOODS-S,518031,8.640000343322754,0.9958224296569824,8-10,61.6624,13.6438,26.3407,13.3800,,0.2942,0.0669,0.1542,30,red_2,903,redness
GOODS-N,1223231,11.920000076293945,1.0000001192092896,10-15,440.4238,17.7133,76.3735,24.2896,1.3956,0.4975,0.0811,0.1894,1,red_1,231,redness
GOODS-N,1206691,12.699999809265137,0.9193974733352661,10-15,636.3360,26.8062,260.7665,-21.4796,1.3755,,0.1332,0.2808,2,red_1,231,redness
GOODS-S,153326,11.550000190734863,1.0,10-15,224.4893,10.2416,116.9778,37.9925,1.3408,0.4884,0.0748,0.1736,3,red_1,231,redness
GOODS-S,402176,12.710000038146973,0.9998872876167297,10-15,4776.0972,309.9788,2152.4407,100.4890,1.1877,1.3308,0.1742,0.3904,4,red_1,231,redness
GOODS-N,1186342,11.970000267028809,0.9999998807907104,10-15,2175.4129,152.3807,1029.4537,121.6527,1.1546,0.9275,0.2428,0.4936,5,red_1,231,redness
GOODS-S,484558,12.15999984741211,1.0000001192092896,10-15,21.0163,1.7064,4.2186,1.9957,1.0905,,0.0690,0.1598,6,red_1,231,redness
GOODS-S,354660,12.670000076293945,0.9999977946281433,10-15,2767.3778,228.8578,1421.2484,71.3575,1.0825,1.2992,0.2111,0.4597,7,red_1,231,redness
GOODS-S,421975,12.600000381469727,0.9999998807907104,10-15,491.4216,42.7397,240.6714,8.9244,1.0606,1.4308,0.1997,0.4080,8,red_1,231,redness
GOODS-N,1027338,12.649999618530273,0.979831874370575,10-15,3456.5792,307.2119,1758.0593,22.3644,1.0512,,0.3339,0.6221,9,red_1,231,redness
GOODS-S,153323,12.069999694824219,0.9981983304023743,10-15,2012.9166,179.5870,1002.6046,61.1542,1.0496,1.2147,0.2040,0.4249,10,red_1,231,redness
GOODS-S,464514,11.489999771118164,1.0000001192092896,10-15,223.0884,20.2451,82.3661,18.3919,1.0422,0.6511,0.0723,0.1686,11,red_1,231,redness
GOODS-N,1030374,11.899999618530273,1.0,10-15,5991.1768,543.9842,3126.3841,210.6122,1.0419,1.1716,0.3205,0.6377,12,red_1,231,redness
GOODS-N,1003262,11.869999885559082,0.9999998807907104,10-15,184.7899,18.5202,36.8930,20.3754,0.9990,0.2578,0.0748,0.1761,13,red_1,231,redness
GOODS-S,431625,11.739999771118164,0.9994134902954102,10-15,4262.3842,455.1075,2468.6500,178.0870,0.9715,1.1418,0.2315,0.4701,14,red_1,231,redness
GOODS-N,1208716,12.619999885559082,0.9999454021453857,10-15,1498.8212,173.7439,841.4401,48.1856,0.9358,1.2421,0.2342,0.4315,15,red_1,231,redness
GOODS-N,1075168,12.519999504089355,1.0000001192092896,10-15,734.0414,86.2872,382.7311,30.6573,0.9298,1.0964,0.1479,0.3227,16,red_1,231,redness
GOODS-S,172813,13.100000381469727,0.9481474161148071,10-15,4092.4951,512.5685,2203.6482,148.3051,0.9022,1.1720,0.4189,0.8663,17,red_1,231,redness
GOODS-S,470678,10.729999542236328,1.0000001192092896,10-15,47.3650,6.3058,17.3806,11.5268,0.8757,0.1784,0.0717,0.1675,18,red_1,231,redness
GOODS-S,404158,12.600000381469727,0.9999998807907104,10-15,1430.6577,193.8707,835.7088,-51.0085,0.8680,,0.4710,0.8523,19,red_1,231,redness
GOODS-N,1125125,11.880000114440918,1.0,10-15,3833.6036,550.4212,2052.8355,217.8741,0.8429,0.9741,0.2782,0.5541,20,red_1,231,redness
GOODS-S,13985,11.569999694824219,1.0,10-15,24.4210,3.6031,4.9411,0.6728,0.8311,,0.0707,0.1648,21,red_1,231,redness
GOODS-N,1204188,12.680000305175781,0.9999510049819946,10-15,1344.2142,209.0351,795.2983,10.0475,0.8082,,0.2713,0.4869,22,red_1,231,redness
GOODS-S,473785,12.029999732971191,1.0,10-15,231.4523,41.5740,48.8689,26.7074,0.7456,0.2624,0.0684,0.1589,23,red_1,231,redness
GOODS-S,428330,11.609999656677246,0.9972654581069946,10-15,4877.4846,898.2366,3124.3095,285.4115,0.7348,1.0393,0.3958,0.7050,24,red_1,231,redness
GOODS-S,125061,10.319999694824219,1.0000001192092896,10-15,46.7961,8.6795,20.9062,7.6147,0.7317,0.4386,0.0668,0.1544,25,red_1,231,redness
GOODS-S,429397,12.15999984741211,0.9999841451644897,10-15,1323.6220,254.1734,789.4110,148.8442,0.7166,0.7246,0.2009,0.4175,26,red_1,231,redness
GOODS-S,429401,12.630000114440918,0.9650630950927734,10-15,615.9599,119.8908,353.0456,-22.4765,0.7108,,0.2876,0.5322,27,red_1,231,redness
GOODS-S,416913,11.569999694824219,0.9994826912879944,10-15,7121.1753,1840.7539,5121.9705,953.1846,0.5876,0.7303,0.2702,0.5138,28,red_1,231,redness
GOODS-S,64312,10.539999961853027,1.0000001192092896,10-15,15.5108,4.2795,5.7515,3.0319,0.5592,0.2781,0.0683,0.1587,29,red_1,231,redness
GOODS-S,433690,12.519999504089355,0.9999998211860657,10-15,2004.0649,573.5980,804.7423,815.5408,0.5433,-0.0058,0.0931,0.2147,30,red_1,231,redness
GOODS-S,421975,12.600000381469727,0.9999998807907104,10-15,491.4216,42.7397,240.6714,8.9244,1.0606,1.4308,0.1997,0.4080,1,red_2,184,redness
GOODS-S,402176,12.710000038146973,0.9998872876167297,10-15,4776.0972,309.9788,2152.4407,100.4890,1.1877,1.3308,0.1742,0.3904,2,red_2,184,redness
GOODS-S,354660,12.670000076293945,0.9999977946281433,10-15,2767.3778,228.8578,1421.2484,71.3575,1.0825,1.2992,0.2111,0.4597,3,red_2,184,redness
GOODS-N,1208716,12.619999885559082,0.9999454021453857,10-15,1498.8212,173.7439,841.4401,48.1856,0.9358,1.2421,0.2342,0.4315,4,red_2,184,redness
GOODS-S,153323,12.069999694824219,0.9981983304023743,10-15,2012.9166,179.5870,1002.6046,61.1542,1.0496,1.2147,0.2040,0.4249,5,red_2,184,redness
GOODS-S,172813,13.100000381469727,0.9481474161148071,10-15,4092.4951,512.5685,2203.6482,148.3051,0.9022,1.1720,0.4189,0.8663,6,red_2,184,redness
GOODS-N,1030374,11.899999618530273,1.0,10-15,5991.1768,543.9842,3126.3841,210.6122,1.0419,1.1716,0.3205,0.6377,7,red_2,184,redness
GOODS-S,431625,11.739999771118164,0.9994134902954102,10-15,4262.3842,455.1075,2468.6500,178.0870,0.9715,1.1418,0.2315,0.4701,8,red_2,184,redness
