field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-S,302559,53.16179,-27.871254,7.480000019073486,7.480000019073486,7.478204250335693,-9999.0,1.0,0.9983793497085571,2.0497966488619568e-06,2.834384116301436e-11,8.526363372802734,15,6,0,0,0,0
GOODS-S,302620,53.07036,-27.87043,8.350000381469727,8.350000381469727,8.35434341430664,-9999.0,0.9368663430213928,0.8852824568748474,0.6144170761108398,0.17416657507419586,10.559967994689941,21,10,0,0,0,1
GOODS-S,302643,53.14816,-27.870066,8.949999809265137,8.949999809265137,8.95002269744873,-9999.0,0.8710070848464966,0.8332806825637817,0.7023330330848694,0.18312443792819977,5.913464546203613,15,6,0,0,0,1
GOODS-S,302680,53.157715,-27.869402,8.619999885559082,8.619999885559082,8.616783142089844,-9999.0,0.839816689491272,0.7931621670722961,0.5932965278625488,0.20129647850990295,10.65267562866211,15,6,0,0,0,1
GOODS-S,302764,53.118443,-27.867748,7.309999942779541,7.309999942779541,7.305496692657471,-9999.0,0.8024155497550964,0.655438244342804,0.009871529415249825,0.00028694019420072436,14.688615798950195,21,10,0,0,0,1
GOODS-S,302923,53.074116,-27.863792,12.069999694824219,12.069999694824219,12.073619842529297,-9999.0,0.8122355937957764,0.7966234683990479,0.7686625719070435,0.7329431772232056,18.550065994262695,21,10,0,0,0,1
GOODS-S,302926,53.130096,-27.863707,7.670000076293945,7.670000076293945,7.319508075714111,-9999.0,0.9228714108467102,0.8223954439163208,0.23960502445697784,0.01388300210237503,7.828497409820557,15,6,0,0,0,1
GOODS-S,303030,53.120155,-27.860695,11.269999504089355,11.269999504089355,11.268192291259766,-9999.0,0.9048522710800171,0.9017817378044128,0.8732606768608093,0.7664963603019714,16.635276794433594,21,10,0,0,0,1
GOODS-S,303042,53.128105,-27.860296,12.5600004196167,12.5600004196167,12.55723762512207,-9999.0,0.9534991979598999,0.9533048272132874,0.9504842162132263,0.9452021718025208,12.147421836853027,20,10,0,0,0,1
GOODS-S,303088,53.144825,-27.859259,7.309999942779541,7.309999942779541,7.30609655380249,-9999.0,0.8659876585006714,0.6892789006233215,0.13039782643318176,0.021511686965823174,4.099702835083008,15,6,0,0,0,1
GOODS-S,303181,53.13027,-27.856405,11.5600004196167,11.5600004196167,11.556916236877441,-9999.0,0.9287371039390564,0.9152424931526184,0.9035911560058594,0.8086507320404053,13.311748504638672,20,10,0,0,0,1
