field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F444W_SNR,FWHM_arcsec,A_arcsec,B_arcsec,compact_proxy,rank_in_bin,metric,bin_size,hunt_type
GOODS-N,1040635,12.380000114440918,0.994917631149292,10-15,7.1900,4.56,0.1350,0.0611,0.0532,2.5961,15,smallest_fwhm,285,compactness
GOODS-S,546743,11.0600004196167,0.9708313345909119,10-15,4.0380,3.06,0.1363,0.0597,0.0560,2.3372,16,smallest_fwhm,285,compactness
GOODS-S,151544,11.6899995803833,0.9999889731407166,10-15,13.1314,11.05,0.1386,0.0606,0.0570,2.8348,17,smallest_fwhm,285,compactness
GOODS-N,1012555,10.420000076293945,0.9999986290931702,10-15,9.4962,7.37,0.1408,0.0616,0.0579,2.6803,18,smallest_fwhm,285,compactness
GOODS-N,1253768,14.529999732971191,0.9999999403953552,10-15,88.4918,8.90,0.1412,0.0732,0.0428,3.6472,19,smallest_fwhm,285,compactness
GOODS-N,1142410,10.420000076293945,0.9999218583106995,10-15,6.8120,4.85,0.1435,0.0620,0.0599,2.5196,20,smallest_fwhm,285,compactness
GOODS-S,94787,10.130000114440918,1.0000001192092896,10-15,6.7636,7.50,0.1436,0.0633,0.0586,2.5159,21,smallest_fwhm,285,compactness
GOODS-S,795,12.600000381469727,0.9851274490356445,10-15,11.8511,6.49,0.1440,0.0620,0.0603,2.7570,22,smallest_fwhm,285,compactness
GOODS-S,490512,10.710000038146973,0.9999970197677612,10-15,15.1437,4.98,0.1448,0.0648,0.0579,2.8587,23,smallest_fwhm,285,compactness
GOODS-S,500345,10.609999656677246,1.0,10-15,24.0311,16.52,0.1448,0.0634,0.0595,3.0592,24,smallest_fwhm,285,compactness
GOODS-S,18044,14.329999923706055,1.0,10-15,10.2633,6.96,0.1451,0.0637,0.0595,2.6880,25,smallest_fwhm,285,compactness
GOODS-N,1011508,10.899999618530273,1.000000238418579,10-15,16.2791,6.16,0.1451,0.0644,0.0588,2.8883,26,smallest_fwhm,285,compactness
GOODS-S,81863,10.84000015258789,0.9999998807907104,10-15,8.5115,7.96,0.1455,0.0621,0.0615,2.6043,27,smallest_fwhm,285,compactness
GOODS-S,150638,10.0,1.0000001192092896,10-15,7.8368,8.53,0.1455,0.0630,0.0605,2.5684,28,smallest_fwhm,285,compactness
GOODS-S,238635,10.59000015258789,0.9999998211860657,10-15,6.2944,3.74,0.1457,0.0635,0.0601,2.4720,29,smallest_fwhm,285,compactness
GOODS-S,475727,11.210000038146973,1.0000001192092896,10-15,22.7194,13.44,0.1468,0.0638,0.0609,3.0229,30,smallest_fwhm,285,compactness
GOODS-S,188911,11.65999984741211,0.9999998807907104,10-15,16283.4203,2578.52,0.3583,0.1526,0.1516,5.1033,1,highest_compact_proxy,285,compactness
GOODS-S,192282,12.5600004196167,0.9999999403953552,10-15,3239.4268,1139.21,0.2297,0.1002,0.0948,4.7881,2,highest_compact_proxy,285,compactness
GOODS-S,433690,12.519999504089355,0.9999998211860657,10-15,2004.0649,855.72,0.2147,0.0931,0.0892,4.6382,3,highest_compact_proxy,285,compactness
GOODS-S,402176,12.710000038146973,0.9998872876167297,10-15,4776.0972,1828.79,0.3904,0.1742,0.1570,4.4961,4,highest_compact_proxy,285,compactness
GOODS-S,416913,11.569999694824219,0.9994826912879944,10-15,7121.1753,275.08,0.5138,0.2702,0.1491,4.4310,5,highest_compact_proxy,285,compactness
GOODS-S,431625,11.739999771118164,0.9994134902954102,10-15,4262.3842,242.03,0.4701,0.2315,0.1617,4.2853,6,highest_compact_proxy,285,compactness
GOODS-N,1197434,12.899999618530273,0.9999985098838806,10-15,53.0054,11.87,0.0543,0.0248,0.0212,4.2547,7,highest_compact_proxy,285,compactness
GOODS-N,1030374,11.899999618530273,1.0,10-15,5991.1768,250.74,0.6377,0.3205,0.2097,4.1683,8,highest_compact_proxy,285,compactness
GOODS-N,3292076,14.59000015258789,1.0000001192092896,10-15,41.6655,25.63,0.0545,0.0243,0.0220,4.1470,9,highest_compact_proxy,285,compactness
GOODS-N,1197380,14.199999809265137,0.9999999403953552,10-15,38.8043,11.48,0.0529,0.0237,0.0212,4.1420,10,highest_compact_proxy,285,compactness
GOODS-S,354660,12.670000076293945,0.9999977946281433,10-15,2767.3778,377.68,0.4597,0.2111,0.1779,4.1171,11,highest_compact_proxy,285,compactness
GOODS-N,1125125,11.880000114440918,1.0,10-15,3833.6036,345.92,0.5541,0.2782,0.1826,4.0964,12,highest_compact_proxy,285,compactness
GOODS-N,1262172,14.59000015258789,0.9999998807907104,10-15,69.9110,20.05,0.0753,0.0369,0.0262,4.0910,13,highest_compact_proxy,285,compactness
GOODS-N,1223231,11.920000076293945,1.0000001192092896,10-15,440.4238,75.83,0.1894,0.0811,0.0798,4.0891,14,highest_compact_proxy,285,compactness
GOODS-S,153323,12.069999694824219,0.9981983304023743,10-15,2012.9166,207.88,0.4249,0.2040,0.1533,4.0473,15,highest_compact_proxy,285,compactness
GOODS-S,428330,11.609999656677246,0.9972654581069946,10-15,4877.4846,264.02,0.7050,0.3958,0.1504,3.9918,16,highest_compact_proxy,285,compactness
GOODS-S,473785,12.029999732971191,1.0,10-15,231.4523,47.60,0.1589,0.0684,0.0665,3.9622,17,highest_compact_proxy,285,compactness
GOODS-N,1027338,12.649999618530273,0.979831874370575,10-15,3456.5792,149.45,0.6221,0.3339,0.1676,3.9509,18,highest_compact_proxy,285,compactness
GOODS-N,1186342,11.970000267028809,0.9999998807907104,10-15,2175.4129,237.20,0.4936,0.2428,0.1700,3.9508,19,highest_compact_proxy,285,compactness
